"","symbol","date","open","high","low","close","volume","adjusted"
"1311","HLT",2021-03-18,126.57,128.679993,125.099998,125.639999,2550000,125.639999
"1312","HLT",2021-03-19,125,125.919998,122.139999,124.389999,2810800,124.389999
"1313","HLT",2021-03-22,124.510002,124.830002,122.400002,122.919998,2031200,122.919998
"1314","HLT",2021-03-23,122.160004,122.599998,118.199997,118.900002,2659000,118.900002
"1315","HLT",2021-03-24,119.830002,121.650002,118.470001,118.5,2035000,118.5
"1316","HLT",2021-03-25,117.540001,120.779999,116.150002,120.400002,2680800,120.400002
"1317","HLT",2021-03-26,121.080002,121.610001,118.919998,121.120003,2149800,121.120003
"1318","HLT",2021-03-29,120.93,121.339996,118.110001,119.050003,2135300,119.050003
"1319","HLT",2021-03-30,118.949997,122.610001,118.690002,122.059998,2548900,122.059998
"1320","HLT",2021-03-31,122.309998,122.82,120.839996,120.919998,2031500,120.919998
"1321","HLT",2021-04-01,121.900002,122.099998,120.379997,121.650002,1696900,121.650002
"1322","HLT",2021-04-05,123.120003,126.099998,122.989998,125.400002,2261100,125.400002
"1323","HLT",2021-04-06,125.550003,127.540001,125.5,126.660004,1719500,126.660004
"1324","HLT",2021-04-07,126.970001,127.32,124.260002,124.519997,1803800,124.519997
"1325","HLT",2021-04-08,124.370003,126.129997,122.809998,124.75,1847100,124.75
"1326","HLT",2021-04-09,124.400002,124.459999,122.370003,124.349998,921500,124.349998
"1327","HLT",2021-04-12,124.480003,125.440002,122.470001,125.279999,2057800,125.279999
"1328","HLT",2021-04-13,123.779999,126.870003,122.43,126.110001,3377700,126.110001
"1329","HLT",2021-04-14,126,128.279999,125.639999,126.519997,2461100,126.519997
"1330","HLT",2021-04-15,127.370003,127.849998,125.779999,127.279999,1193000,127.279999
"1331","HLT",2021-04-16,128.520004,129.050003,127.550003,128.050003,1721300,128.050003
"1332","HLT",2021-04-19,127.489998,127.730003,125.260002,125.93,1451000,125.93
"1333","HLT",2021-04-20,124.949997,125.300003,120.669998,122.220001,2328500,122.220001
"1334","HLT",2021-04-21,122.510002,123.970001,121.309998,123.910004,1329400,123.910004
"1335","HLT",2021-04-22,123.440002,126.769997,122.849998,125.5,2235300,125.5
"1336","HLT",2021-04-23,125.940002,127.43,125.559998,127.400002,1394600,127.400002
"1337","HLT",2021-04-26,128.600006,130.190002,127.120003,127.57,1357400,127.57
"1338","HLT",2021-04-27,127.720001,130.350006,127.589996,130.009995,1712900,130.009995
"1339","HLT",2021-04-28,129.820007,130.25,128.960007,129.110001,1328800,129.110001
"1340","HLT",2021-04-29,130.880005,132.690002,128.449997,130.389999,1597000,130.389999
"1341","HLT",2021-04-30,129.710007,130.059998,127.580002,128.699997,1263900,128.699997
"1342","HLT",2021-05-03,129.639999,130.169998,128.389999,128.669998,1375300,128.669998
"1343","HLT",2021-05-04,128.169998,128.850006,125.690002,128.25,2574900,128.25
"1344","HLT",2021-05-05,127.110001,128.110001,122.32,122.620003,3767400,122.620003
"1345","HLT",2021-05-06,122.150002,122.730003,119.470001,120.769997,3108500,120.769997
"1346","HLT",2021-05-07,121.199997,123.540001,119.800003,123.440002,2097100,123.440002
"1347","HLT",2021-05-10,122.470001,123.699997,121.080002,121.580002,2219000,121.580002
"1348","HLT",2021-05-11,119.260002,122.160004,118.160004,121.830002,1640400,121.830002
"1349","HLT",2021-05-12,121.029999,122.260002,117.540001,118.290001,1984200,118.290001
"1350","HLT",2021-05-13,118.839996,121.160004,118.230003,120.160004,1648500,120.160004
"1351","HLT",2021-05-14,121.290001,124.43,120.449997,123.610001,1470700,123.610001
"1352","HLT",2021-05-17,123.43,123.43,120.389999,121.709999,1428900,121.709999
"1353","HLT",2021-05-18,122.150002,123.370003,120.720001,120.790001,2237100,120.790001
"1354","HLT",2021-05-19,118.239998,120.660004,117.889999,120.57,1511900,120.57
"1355","HLT",2021-05-20,120.709999,121.199997,119.050003,120.580002,1484400,120.580002
"1356","HLT",2021-05-21,121.32,122.220001,120.699997,120.980003,1429500,120.980003
"1357","HLT",2021-05-24,122.089996,123.900002,121.32,123.589996,2057700,123.589996
"1358","HLT",2021-05-25,124.629997,125.309998,123.349998,123.800003,1374200,123.800003
"1359","HLT",2021-05-26,124.419998,126.400002,123.919998,126.220001,1523000,126.220001
"1360","HLT",2021-05-27,127,127.68,125.110001,126.269997,2395700,126.269997
"1361","HLT",2021-05-28,125.900002,126.32,124.389999,125.269997,893700,125.269997
"1362","HLT",2021-06-01,127.599998,127.599998,125.800003,126.610001,1489100,126.610001
"1363","HLT",2021-06-02,126.879997,127,124.559998,125.169998,1462100,125.169998
"1364","HLT",2021-06-03,124.129997,124.5,122.190002,123.129997,1331400,123.129997
"1365","HLT",2021-06-04,123.75,124.82,122.93,124.75,1657100,124.75
"1366","HLT",2021-06-07,125.529999,125.809998,124.529999,124.900002,1353900,124.900002
"1367","HLT",2021-06-08,125.169998,128.160004,124.760002,127.839996,1978500,127.839996
"1368","HLT",2021-06-09,128.350006,128.770004,126.379997,126.449997,1508900,126.449997
"1369","HLT",2021-06-10,126.790001,127.269997,125.260002,126.589996,1741800,126.589996
"1370","HLT",2021-06-11,126.790001,128.740005,126.610001,128.610001,1590000,128.610001
"1371","HLT",2021-06-14,128.350006,129.850006,127.589996,128.610001,1571100,128.610001
"1372","HLT",2021-06-15,128.369995,129.970001,128.130005,129.25,2571100,129.25
"1373","HLT",2021-06-16,129.479996,129.809998,126.5,126.93,1970600,126.93
"1374","HLT",2021-06-17,127.010002,128.229996,125.260002,126.239998,1857900,126.239998
"1375","HLT",2021-06-18,124.489998,125.209999,123.389999,123.720001,2006600,123.720001
"1376","HLT",2021-06-21,124.57,126.870003,123.57,126.739998,2280900,126.739998
"1377","HLT",2021-06-22,126.860001,126.919998,125.349998,126.099998,1394200,126.099998
"1378","HLT",2021-06-23,125.800003,126.410004,125.400002,125.68,1007500,125.68
"1379","HLT",2021-06-24,126.769997,126.82,124.25,124.510002,1645200,124.510002
"1380","HLT",2021-06-25,125.040001,125.489998,124.190002,124.480003,5399400,124.480003
"1381","HLT",2021-06-28,124.059998,124.059998,119.510002,120.720001,2031400,120.720001
"1382","HLT",2021-06-29,120.760002,121.209999,118.660004,118.949997,1728400,118.949997
"1383","HLT",2021-06-30,119.059998,120.800003,118.900002,120.620003,2656800,120.620003
"1384","HLT",2021-07-01,120.629997,123.839996,120.620003,123.620003,2466900,123.620003
"1385","HLT",2021-07-02,124.489998,127.029999,123.760002,126.809998,2291500,126.809998
"1386","HLT",2021-07-06,127.059998,128,124.129997,125.830002,1854700,125.830002
"1387","HLT",2021-07-07,124.629997,126.389999,121.830002,124.449997,1958000,124.449997
"1388","HLT",2021-07-08,122.190002,124.120003,120.68,123.129997,2458700,123.129997
"1389","HLT",2021-07-09,124.230003,126.230003,123.389999,126.050003,1335800,126.050003
"1390","HLT",2021-07-12,125,126.379997,124.440002,125.849998,2030500,125.849998
"1391","HLT",2021-07-13,125.18,125.5,123.32,123.459999,1550700,123.459999
"1392","HLT",2021-07-14,123.720001,125.32,123.230003,123.870003,1525100,123.870003
"1393","HLT",2021-07-15,123,123.839996,121.889999,122.900002,1986700,122.900002
"1394","HLT",2021-07-16,124.169998,125,119.410004,119.75,3002400,119.75
"1395","HLT",2021-07-19,116,119.459999,114.699997,117.010002,5226900,117.010002
"1396","HLT",2021-07-20,117.339996,121.419998,116.699997,120.900002,1715000,120.900002
"1397","HLT",2021-07-21,121.889999,125.32,121.660004,124.93,2022300,124.93
"1398","HLT",2021-07-22,124.080002,124.550003,122.32,123.209999,1561700,123.209999
"1399","HLT",2021-07-23,124.599998,125.620003,123.620003,125.260002,2485600,125.260002
"1400","HLT",2021-07-26,124.730003,127.290001,123.309998,126.669998,2676500,126.669998
"1401","HLT",2021-07-27,125.790001,128.570007,124.790001,128.5,2487500,128.5
"1402","HLT",2021-07-28,129.229996,129.910004,126.599998,129.529999,2225300,129.529999
"1403","HLT",2021-07-29,130,136.889999,127.5,134.5,3619700,134.5
"1404","HLT",2021-07-30,133.369995,133.809998,131.009995,131.449997,1849500,131.449997
"1405","HLT",2021-08-02,132.470001,132.889999,127.019997,127.870003,2154700,127.870003
"1406","HLT",2021-08-03,128.149994,128.149994,123.470001,126.080002,3137300,126.080002
"1407","HLT",2021-08-04,124.559998,125.839996,123.110001,124.389999,2249500,124.389999
"1408","HLT",2021-08-05,125.339996,127.349998,124.839996,126.400002,1881300,126.400002
"1409","HLT",2021-08-06,126.769997,127.330002,125.400002,126.660004,1717100,126.660004
"1410","HLT",2021-08-09,125.989998,126,122.809998,124.610001,1774600,124.610001
"1411","HLT",2021-08-10,124.690002,127.25,124.150002,126.349998,1637500,126.349998
"1412","HLT",2021-08-11,125.550003,126.339996,124.160004,125.029999,2218200,125.029999
"1413","HLT",2021-08-12,124.470001,124.870003,122.550003,123.43,2069800,123.43
"1414","HLT",2021-08-13,123.080002,123.43,121.32,122.209999,1951400,122.209999
"1415","HLT",2021-08-16,121.129997,122.580002,120.18,121.489998,2464400,121.489998
"1416","HLT",2021-08-17,120.110001,120.790001,119.360001,119.989998,2233300,119.989998
"1417","HLT",2021-08-18,119.389999,120.419998,118.080002,119,2360000,119
"1418","HLT",2021-08-19,118.800003,119.470001,117.529999,119.230003,2692200,119.230003
"1419","HLT",2021-08-20,118.5,122.339996,118.339996,121.769997,2554900,121.769997
"1420","HLT",2021-08-23,122.690002,123.709999,121.93,123.029999,1799500,123.029999
"1421","HLT",2021-08-24,124.160004,127.949997,124.139999,126.860001,2182700,126.860001
"1422","HLT",2021-08-25,126.870003,127.919998,125.440002,127.32,1392700,127.32
"1423","HLT",2021-08-26,126.690002,126.739998,124.589996,125.620003,1038000,125.620003
"1424","HLT",2021-08-27,125.480003,127.970001,125.480003,127.559998,1149200,127.559998
"1425","HLT",2021-08-30,127.900002,127.900002,125.230003,125.720001,1136800,125.720001
"1426","HLT",2021-08-31,125.720001,126.169998,124.029999,124.860001,2698000,124.860001
"1427","HLT",2021-09-01,125.610001,125.970001,124.169998,125.32,2127500,125.32
"1428","HLT",2021-09-02,124.720001,125.529999,123.779999,124.389999,1991000,124.389999
"1429","HLT",2021-09-03,123.910004,124.160004,120.849998,123.080002,1697300,123.080002
"1430","HLT",2021-09-07,122.5,123.989998,121.879997,123.370003,1132200,123.370003
"1431","HLT",2021-09-08,123.889999,124.190002,121.419998,122.760002,2288400,122.760002
"1432","HLT",2021-09-09,122.68,126.959999,122.519997,125.75,1933900,125.75
"1433","HLT",2021-09-10,126.699997,128.860001,125.349998,127.400002,2287700,127.400002
"1434","HLT",2021-09-13,128.259995,130.25,126.730003,130.210007,1459800,130.210007
"1435","HLT",2021-09-14,130.600006,132.110001,129.520004,131.820007,1767300,131.820007
"1436","HLT",2021-09-15,131.119995,131.860001,128.830002,131.399994,1697200,131.399994
"1437","HLT",2021-09-16,131.119995,132.559998,130.850006,132.020004,972700,132.020004
"1438","HLT",2021-09-17,132.119995,133.440002,130.839996,131.210007,1748600,131.210007
"1439","HLT",2021-09-20,129.199997,130.160004,126.980003,128.830002,1976400,128.830002
"1440","HLT",2021-09-21,130.110001,130.850006,127.690002,127.82,1520700,127.82
"1441","HLT",2021-09-22,128.389999,130.070007,128.240005,129.190002,1851700,129.190002
"1442","HLT",2021-09-23,129.899994,135.100006,129.660004,134.490005,2505800,134.490005
"1443","HLT",2021-09-24,134.360001,136.309998,133.990005,135.479996,2311800,135.479996
"1444","HLT",2021-09-27,137.330002,139.369995,136.449997,138.800003,2323600,138.800003
"1445","HLT",2021-09-28,138.229996,140.210007,136.070007,136.550003,2342900,136.550003
"1446","HLT",2021-09-29,137.309998,137.360001,133.559998,135.160004,2152600,135.160004
"1447","HLT",2021-09-30,135.029999,135.029999,131.75,132.110001,2415900,132.110001
"1448","HLT",2021-10-01,134.770004,138.580002,134.130005,138.149994,4563100,138.149994
"1449","HLT",2021-10-04,138.460007,141.440002,136.919998,138.509995,3687400,138.509995
"1450","HLT",2021-10-05,138.75,140.830002,137.789993,139.75,2028500,139.75
"1451","HLT",2021-10-06,137.949997,139.630005,135.699997,139.360001,1751600,139.360001
"1452","HLT",2021-10-07,140.860001,143.309998,140.130005,141.169998,1503400,141.169998
"1453","HLT",2021-10-08,141.369995,142.5,140.889999,141.509995,1653900,141.509995
"1454","HLT",2021-10-11,141.429993,143.809998,141.190002,142.850006,1494900,142.850006
"1455","HLT",2021-10-12,143.220001,145.110001,142.949997,144.699997,2336500,144.699997
"1456","HLT",2021-10-13,145,145.25,140.710007,140.830002,2195100,140.830002
"1457","HLT",2021-10-14,142.289993,142.559998,141.240005,141.580002,1218200,141.580002
"1458","HLT",2021-10-15,143.210007,145.449997,143.119995,144.520004,1674700,144.520004
"1459","HLT",2021-10-18,143.369995,144.75,142.720001,144.059998,1074500,144.059998
"1460","HLT",2021-10-19,144.979996,144.979996,140.789993,140.949997,3772100,140.949997
"1461","HLT",2021-10-20,140.529999,141.910004,139.490005,140.240005,1501200,140.240005
"1462","HLT",2021-10-21,140.089996,141.630005,139.759995,141.5,1306800,141.5
"1463","HLT",2021-10-22,140.570007,142.759995,140.470001,141.660004,1091000,141.660004
"1464","HLT",2021-10-25,141.770004,143.029999,139.850006,142.169998,1412300,142.169998
"1465","HLT",2021-10-26,143.460007,145.25,143.020004,144.449997,2642300,144.449997
"1466","HLT",2021-10-27,141.080002,149.039993,140.410004,147.220001,3504700,147.220001
"1467","HLT",2021-10-28,148.350006,148.729996,145.589996,146.039993,1620600,146.039993
"1468","HLT",2021-10-29,145.580002,146.5,142.839996,143.949997,2566000,143.949997
"1469","HLT",2021-11-01,144.300003,145.509995,143.199997,144.779999,4249400,144.779999
"1470","HLT",2021-11-02,144.509995,144.960007,140.619995,141.339996,2592200,141.339996
"1471","HLT",2021-11-03,140.490005,146.809998,139.869995,145.240005,2336200,145.240005
"1472","HLT",2021-11-04,145.990005,148.089996,145.839996,147.440002,1284900,147.440002
"1473","HLT",2021-11-05,152.190002,153.839996,148.690002,151.839996,3035100,151.839996
"1474","HLT",2021-11-08,152.259995,154.399994,150.479996,151.169998,1893700,151.169998
"1475","HLT",2021-11-09,150.869995,151.979996,146.630005,148.460007,1354600,148.460007
"1476","HLT",2021-11-10,147.429993,149.190002,145.229996,146.529999,1255900,146.529999
"1477","HLT",2021-11-11,145.809998,147.149994,143.399994,143.580002,1634100,143.580002
"1478","HLT",2021-11-12,143.699997,145.460007,142.800003,143.470001,1872500,143.470001
"1479","HLT",2021-11-15,144.25,144.410004,142.419998,142.910004,955600,142.910004
"1480","HLT",2021-11-16,142.869995,144.289993,140.320007,141.740005,2396700,141.740005
"1481","HLT",2021-11-17,140.809998,144.729996,139.850006,144.529999,2306000,144.529999
"1482","HLT",2021-11-18,145.089996,145.889999,142.509995,143.589996,1313400,143.589996
"1483","HLT",2021-11-19,140.729996,145.139999,137.089996,144.369995,3014500,144.369995
"1484","HLT",2021-11-22,145.550003,145.679993,141.860001,143.869995,2180600,143.869995
"1485","HLT",2021-11-23,145.550003,146.830002,144.589996,145.729996,1405600,145.729996
"1486","HLT",2021-11-24,143.979996,146.369995,142.949997,145.289993,1066900,145.289993
"1487","HLT",2021-11-26,135.800003,136.600006,132.119995,136.210007,3513600,136.210007
"1488","HLT",2021-11-29,138.470001,140.399994,137.899994,138.070007,2558000,138.070007
"1489","HLT",2021-11-30,135.990005,137.429993,133.789993,135.070007,2992400,135.070007
"1490","HLT",2021-12-01,137.559998,138.600006,129.880005,129.960007,3570800,129.960007
"1491","HLT",2021-12-02,131.660004,140.570007,130.970001,139.589996,3150700,139.589996
"1492","HLT",2021-12-03,139.580002,140.399994,135.539993,138.740005,2732500,138.740005
"1493","HLT",2021-12-06,141.520004,146,141.240005,144.309998,1709900,144.309998
"1494","HLT",2021-12-07,145.880005,148.75,142.130005,143.149994,1980100,143.149994
"1495","HLT",2021-12-08,144.419998,145.610001,142.020004,144.389999,1508300,144.389999
"1496","HLT",2021-12-09,143.210007,145.029999,142.330002,144.309998,881900,144.309998
"1497","HLT",2021-12-10,145,146.619995,142.410004,146.130005,1443600,146.130005
"1498","HLT",2021-12-13,144.550003,144.649994,140.880005,142.410004,1567900,142.410004
"1499","HLT",2021-12-14,142.119995,145.160004,141.389999,141.979996,1581300,141.979996
"1500","HLT",2021-12-15,141.820007,142.360001,137.880005,140.289993,1795600,140.289993
"1501","HLT",2021-12-16,141.100006,142.139999,138.960007,139,1852100,139
"1502","HLT",2021-12-17,138.5,141.759995,137.600006,140.940002,3068300,140.940002
"1503","HLT",2021-12-20,139,141.259995,137.369995,140.369995,2067200,140.369995
"1504","HLT",2021-12-21,142.550003,148.649994,142.320007,148.550003,2214100,148.550003
"1505","HLT",2021-12-22,148.220001,153.470001,148.220001,152.740005,3098700,152.740005
"1506","HLT",2021-12-23,154.009995,155.220001,152.509995,154.710007,1384900,154.710007
"1507","HLT",2021-12-27,153.710007,155.440002,152.320007,155.289993,906000,155.289993
"1508","HLT",2021-12-28,154.929993,156.009995,153.910004,155.020004,965700,155.020004
"1509","HLT",2021-12-29,154.429993,155.809998,154.050003,155.369995,893400,155.369995
"1510","HLT",2021-12-30,155.380005,156.690002,154.429993,154.979996,1474200,154.979996
"1511","HLT",2021-12-31,154.830002,156.970001,154.580002,155.990005,1187300,155.990005
"1512","HLT",2022-01-03,155.949997,157.149994,152.75,154.479996,1712700,154.479996
"1513","HLT",2022-01-04,157.490005,159.210007,155.949997,155.960007,2043100,155.960007
"1514","HLT",2022-01-05,156.220001,156.460007,151.779999,151.800003,1339900,151.800003
"1515","HLT",2022-01-06,152.240005,153.600006,150.910004,152.179993,1782200,152.179993
"1516","HLT",2022-01-07,152.570007,155.029999,151.970001,152,2039700,152
"1517","HLT",2022-01-10,150.839996,152.039993,146.039993,148.610001,2652300,148.610001
"1518","HLT",2022-01-11,149.190002,153.509995,147.75,152.5,3488300,152.5
"1519","HLT",2022-01-12,153.929993,154.139999,149.710007,150,2010200,150
"1520","HLT",2022-01-13,150.589996,152.089996,149.059998,149.899994,2234300,149.899994
"1521","HLT",2022-01-14,149.149994,149.429993,146.449997,147.979996,2718500,147.979996
"1522","HLT",2022-01-18,146.300003,146.539993,143.779999,144.520004,2852600,144.520004
"1523","HLT",2022-01-19,144.960007,145.559998,141.820007,142.210007,3131300,142.210007
"1524","HLT",2022-01-20,143.059998,146.75,141.839996,142.240005,2576400,142.240005
"1525","HLT",2022-01-21,142.25,145.179993,141.130005,142.259995,3607400,142.259995
"1526","HLT",2022-01-24,138.240005,140.600006,134.559998,140.479996,5057500,140.479996
"1527","HLT",2022-01-25,138.139999,143.5,134.529999,142.389999,3976200,142.389999
"1528","HLT",2022-01-26,144.570007,148.820007,143.100006,144.820007,2824300,144.820007
"1529","HLT",2022-01-27,145.759995,147.020004,136.889999,137.25,3533500,137.25
"1530","HLT",2022-01-28,138.220001,143.559998,136.720001,143.389999,2367900,143.389999
"1531","HLT",2022-01-31,142.190002,145.440002,141.399994,145.110001,1615300,145.110001
"1532","HLT",2022-02-01,145.929993,146.240005,143.580002,145.720001,2772800,145.720001
"1533","HLT",2022-02-02,145.990005,145.990005,142.740005,144.589996,2740300,144.589996
"1534","HLT",2022-02-03,144.169998,145.860001,142.649994,144.149994,2838500,144.149994
"1535","HLT",2022-02-04,143.419998,147.139999,142.470001,145.5,3169500,145.5
"1536","HLT",2022-02-07,146.479996,149.470001,145.759995,148.639999,2526200,148.639999
"1537","HLT",2022-02-08,149.25,153.699997,148.649994,153.380005,3102300,153.380005
"1538","HLT",2022-02-09,154.850006,157.490005,152.889999,153.139999,2709300,153.139999
"1539","HLT",2022-02-10,151.960007,156.490005,150.839996,154.199997,2551100,154.199997
"1540","HLT",2022-02-11,154.690002,155.800003,149.25,149.529999,2798400,149.529999
"1541","HLT",2022-02-14,149.759995,154.5,149.759995,151.429993,4412100,151.429993
"1542","HLT",2022-02-15,153.990005,159.089996,153.990005,158,4976700,158
"1543","HLT",2022-02-16,157.899994,160.960007,155,156.339996,4808600,156.339996
"1544","HLT",2022-02-17,154.130005,155.679993,150.029999,153.039993,3131100,153.039993
"1545","HLT",2022-02-18,153.160004,154.490005,149.929993,150.410004,2317700,150.410004
