"","symbol","date","open","high","low","close","volume","adjusted"
"1321","RCL",2021-04-01,86.5,87.82,85.480003,86.669998,2397600,86.669998
"1322","RCL",2021-04-05,89.440002,91.300003,88.720001,89.150002,4770900,89.150002
"1323","RCL",2021-04-06,89.150002,92.300003,88.580002,90.760002,3563100,90.760002
"1324","RCL",2021-04-07,93,95.300003,90.900002,91.040001,5531500,91.040001
"1325","RCL",2021-04-08,90.93,90.93,87.43,89.790001,4802300,89.790001
"1326","RCL",2021-04-09,89.379997,90.470001,88.669998,89.879997,2348800,89.879997
"1327","RCL",2021-04-12,89.029999,89.029999,85.730003,87.059998,3545300,87.059998
"1328","RCL",2021-04-13,84.879997,86.849998,83.599998,86.529999,3996000,86.529999
"1329","RCL",2021-04-14,86.75,88.730003,86.360001,86.529999,2276300,86.529999
"1330","RCL",2021-04-15,87.07,87.080002,83.849998,84.5,3444500,84.5
"1331","RCL",2021-04-16,85.230003,86.82,84.699997,85.389999,2459100,85.389999
"1332","RCL",2021-04-19,85.120003,85.739998,83.410004,83.779999,2564200,83.779999
"1333","RCL",2021-04-20,83,83.010002,79.029999,81.07,4626900,81.07
"1334","RCL",2021-04-21,81.150002,84.720001,80.050003,84.690002,3265900,84.690002
"1335","RCL",2021-04-22,84.400002,86.550003,83.610001,84.18,2982200,84.18
"1336","RCL",2021-04-23,84.650002,85.959999,83.279999,85.809998,2512100,85.809998
"1337","RCL",2021-04-26,87.400002,88.839996,86.669998,86.940002,2229500,86.940002
"1338","RCL",2021-04-27,87.010002,88.220001,85.82,87.629997,2112200,87.629997
"1339","RCL",2021-04-28,87.260002,88.43,86.589996,87.470001,1943400,87.470001
"1340","RCL",2021-04-29,90.059998,92.449997,84.720001,84.900002,6561300,84.900002
"1341","RCL",2021-04-30,84.150002,87.470001,83.809998,86.949997,3741200,86.949997
"1342","RCL",2021-05-03,87.459999,88.690002,86.690002,87.910004,2749100,87.910004
"1343","RCL",2021-05-04,87,87.099998,82.93,83.989998,4689900,83.989998
"1344","RCL",2021-05-05,84.080002,84.800003,82.400002,83,3109800,83
"1345","RCL",2021-05-06,83.110001,83.870003,79.019997,80.699997,5478700,80.699997
"1346","RCL",2021-05-07,81.089996,84.559998,80.449997,84.290001,3668900,84.290001
"1347","RCL",2021-05-10,83.900002,84.860001,83.029999,83.93,3584500,83.93
"1348","RCL",2021-05-11,81.379997,82.970001,79.830002,81.279999,3634800,81.279999
"1349","RCL",2021-05-12,80.120003,81,77.800003,78.050003,3686600,78.050003
"1350","RCL",2021-05-13,78.839996,79.989998,76.129997,78.459999,3787800,78.459999
"1351","RCL",2021-05-14,79.709999,84.489998,79.550003,84.269997,4401700,84.269997
"1352","RCL",2021-05-17,84.019997,84.760002,82.709999,84.540001,2397600,84.540001
"1353","RCL",2021-05-18,84.860001,87.269997,83.949997,84.980003,3451600,84.980003
"1354","RCL",2021-05-19,82.559998,84.050003,81.559998,83.989998,2823700,83.989998
"1355","RCL",2021-05-20,84.75,84.970001,82.93,84.660004,3146100,84.660004
"1356","RCL",2021-05-21,85.400002,85.879997,82.68,82.82,3707200,82.82
"1357","RCL",2021-05-24,83.470001,86.110001,82.25,85.870003,4098200,85.870003
"1358","RCL",2021-05-25,87,90.639999,86.989998,89,7172000,89
"1359","RCL",2021-05-26,90.230003,92.559998,89.559998,92.489998,5894000,92.489998
"1360","RCL",2021-05-27,92.879997,95.129997,92.709999,94.760002,5393400,94.760002
"1361","RCL",2021-05-28,94.730003,94.730003,92.129997,93.269997,3786700,93.269997
"1362","RCL",2021-06-01,94.949997,97.540001,94.910004,96.25,3903500,96.25
"1363","RCL",2021-06-02,96.5,97.720001,95.349998,96.980003,3576400,96.980003
"1364","RCL",2021-06-03,96,96.110001,93.919998,94.720001,3449800,94.720001
"1365","RCL",2021-06-04,95.75,95.830002,93.300003,94.07,2721400,94.07
"1366","RCL",2021-06-07,94.620003,96.169998,94.239998,94.480003,3017200,94.480003
"1367","RCL",2021-06-08,94.949997,95.980003,93.940002,94.949997,3253300,94.949997
"1368","RCL",2021-06-09,95.32,95.470001,92.559998,92.790001,2560300,92.790001
"1369","RCL",2021-06-10,93,93.010002,89.589996,90.629997,4126600,90.629997
"1370","RCL",2021-06-11,88.440002,90.730003,88.139999,90.089996,3900100,90.089996
"1371","RCL",2021-06-14,90,90.360001,87.389999,87.949997,3047700,87.949997
"1372","RCL",2021-06-15,88.419998,88.959999,86.690002,86.93,2432900,86.93
"1373","RCL",2021-06-16,87.790001,89.050003,86.949997,88.519997,3330400,88.519997
"1374","RCL",2021-06-17,88.269997,89.82,85.970001,86.410004,3482800,86.410004
"1375","RCL",2021-06-18,85.410004,86.629997,84.5,85.639999,4091200,85.639999
"1376","RCL",2021-06-21,86.209999,87.529999,84.959999,87.400002,2822900,87.400002
"1377","RCL",2021-06-22,86.800003,86.940002,84.519997,85.660004,3118900,85.660004
"1378","RCL",2021-06-23,85.709999,86.830002,85.709999,86.160004,1938500,86.160004
"1379","RCL",2021-06-24,86.989998,88.07,85.970001,86.970001,3585200,86.970001
"1380","RCL",2021-06-25,87.300003,89.889999,86.739998,89.220001,5350300,89.220001
"1381","RCL",2021-06-28,88,88.360001,82.849998,83.449997,9627200,83.449997
"1382","RCL",2021-06-29,83.510002,84.769997,82.43,83,5372500,83
"1383","RCL",2021-06-30,83.43,85.389999,82.800003,85.279999,3732600,85.279999
"1384","RCL",2021-07-01,85.900002,87.099998,85.330002,85.889999,2581700,85.889999
"1385","RCL",2021-07-02,86.360001,86.360001,84.970001,86.040001,2258700,86.040001
"1386","RCL",2021-07-06,87.5,87.82,82.580002,82.970001,4788200,82.970001
"1387","RCL",2021-07-07,82.410004,83.43,80.300003,80.459999,5203700,80.459999
"1388","RCL",2021-07-08,78.449997,80.519997,77.110001,79.449997,4500500,79.449997
"1389","RCL",2021-07-09,80.370003,82.540001,79.790001,82.330002,2876800,82.330002
"1390","RCL",2021-07-12,81.230003,81.989998,80.019997,81.540001,2414900,81.540001
"1391","RCL",2021-07-13,80.489998,80.629997,78.43,78.510002,2888900,78.510002
"1392","RCL",2021-07-14,79,79.900002,75.970001,76.199997,4095400,76.199997
"1393","RCL",2021-07-15,75.099998,75.620003,72.379997,74.209999,6498100,74.209999
"1394","RCL",2021-07-16,75.889999,76.480003,72.019997,72.389999,5115500,72.389999
"1395","RCL",2021-07-19,68.93,70.830002,66.900002,69.510002,10445500,69.510002
"1396","RCL",2021-07-20,69.599998,75.309998,69.349998,74.889999,7762900,74.889999
"1397","RCL",2021-07-21,75.629997,79.160004,75.629997,78.900002,7363200,78.900002
"1398","RCL",2021-07-22,78,78.360001,76.300003,77.760002,4791600,77.760002
"1399","RCL",2021-07-23,78.040001,78.860001,76.959999,77.720001,4575200,77.720001
"1400","RCL",2021-07-26,77.43,80.889999,77.089996,80.879997,4651600,80.879997
"1401","RCL",2021-07-27,79.959999,80.919998,78.989998,80.559998,3946900,80.559998
"1402","RCL",2021-07-28,81.129997,81.769997,78.07,80.089996,2933700,80.089996
"1403","RCL",2021-07-29,80.940002,82.120003,79.93,80.019997,3356200,80.019997
"1404","RCL",2021-07-30,78.730003,79.470001,76.410004,76.870003,5976800,76.870003
"1405","RCL",2021-08-02,76.970001,79.330002,75.080002,75.480003,5211900,75.480003
"1406","RCL",2021-08-03,75.099998,75.169998,71.790001,74.489998,6002300,74.489998
"1407","RCL",2021-08-04,73.150002,74.230003,70.739998,72.650002,7719100,72.650002
"1408","RCL",2021-08-05,72.599998,78.43,72.57,78.099998,6755800,78.099998
"1409","RCL",2021-08-06,78.760002,79.080002,76.519997,78.919998,4227100,78.919998
"1410","RCL",2021-08-09,78.269997,78.459999,75.790001,77.389999,3299800,77.389999
"1411","RCL",2021-08-10,77.639999,81.349998,77.220001,80.75,3798200,80.75
"1412","RCL",2021-08-11,79.849998,82,78.610001,81.790001,4295800,81.790001
"1413","RCL",2021-08-12,81.589996,81.650002,78.849998,80.339996,2603400,80.339996
"1414","RCL",2021-08-13,80.089996,80.389999,78.220001,78.889999,2967800,78.889999
"1415","RCL",2021-08-16,77.959999,78.739998,76.050003,78.43,2678600,78.43
"1416","RCL",2021-08-17,77.050003,77.389999,75.190002,76.019997,2845200,76.019997
"1417","RCL",2021-08-18,75.75,78.589996,74.400002,77.209999,3814100,77.209999
"1418","RCL",2021-08-19,76,76.779999,73.510002,76.5,5516500,76.5
"1419","RCL",2021-08-20,76.18,78.379997,76.010002,78.209999,3811900,78.209999
"1420","RCL",2021-08-23,79.169998,80.970001,78.849998,80.25,4642100,80.25
"1421","RCL",2021-08-24,81,83.540001,81,82.860001,5131000,82.860001
"1422","RCL",2021-08-25,82.949997,84.230003,81.199997,83.410004,3812200,83.410004
"1423","RCL",2021-08-26,82.889999,83.300003,80.18,80.82,3310400,80.82
"1424","RCL",2021-08-27,81.040001,83.699997,80.769997,83.260002,3203000,83.260002
"1425","RCL",2021-08-30,83.709999,83.800003,81.190002,81.889999,2942400,81.889999
"1426","RCL",2021-08-31,81.550003,83.419998,81.449997,82.730003,2923600,82.730003
"1427","RCL",2021-09-01,83.440002,83.790001,81.889999,82.239998,3513900,82.239998
"1428","RCL",2021-09-02,82.610001,83.949997,80.769997,82.93,4047300,82.93
"1429","RCL",2021-09-03,82.510002,82.889999,78.690002,79.43,5111200,79.43
"1430","RCL",2021-09-07,78,81.709999,77.419998,81.449997,4218700,81.449997
"1431","RCL",2021-09-08,81.440002,82.68,79.769997,80.290001,2430600,80.290001
"1432","RCL",2021-09-09,80.150002,82.940002,79.879997,81.650002,2797600,81.650002
"1433","RCL",2021-09-10,82.440002,83.290001,81.470001,81.559998,3082000,81.559998
"1434","RCL",2021-09-13,82.349998,84.690002,80.129997,83.839996,4024300,83.839996
"1435","RCL",2021-09-14,83.540001,84.919998,81.970001,82.419998,2539200,82.419998
"1436","RCL",2021-09-15,82,83.550003,80.730003,83.260002,2192300,83.260002
"1437","RCL",2021-09-16,83.059998,83.75,82.290001,82.540001,2282300,82.540001
"1438","RCL",2021-09-17,82.519997,84.839996,82.519997,83.790001,5422400,83.790001
"1439","RCL",2021-09-20,81.690002,83.379997,80.75,82.959999,3457100,82.959999
"1440","RCL",2021-09-21,83.769997,84.889999,82.230003,82.919998,2975500,82.919998
"1441","RCL",2021-09-22,83.300003,86.190002,83.300003,85.330002,4821200,85.330002
"1442","RCL",2021-09-23,86.629997,89.230003,86.269997,88.160004,5090500,88.160004
"1443","RCL",2021-09-24,88.160004,91.32,87.800003,90.690002,5984100,90.690002
"1444","RCL",2021-09-27,91.959999,95.230003,91.839996,92.410004,6276600,92.410004
"1445","RCL",2021-09-28,92.080002,94.620003,91.68,91.970001,4014400,91.970001
"1446","RCL",2021-09-29,92.449997,92.93,90.150002,90.669998,3248000,90.669998
"1447","RCL",2021-09-30,90.32,90.519997,88.269997,88.949997,3201000,88.949997
"1448","RCL",2021-10-01,92.300003,93.919998,91.43,92.330002,5114400,92.330002
"1449","RCL",2021-10-04,92.029999,93.190002,90.389999,91.059998,3290100,91.059998
"1450","RCL",2021-10-05,91.75,92.550003,90.410004,91.010002,2253100,91.010002
"1451","RCL",2021-10-06,89.330002,90.720001,88.43,90.07,2423200,90.07
"1452","RCL",2021-10-07,90.889999,90.889999,88.529999,88.790001,3003000,88.790001
"1453","RCL",2021-10-08,89.169998,90.050003,87.589996,87.730003,2564400,87.730003
"1454","RCL",2021-10-11,87.510002,88.720001,86.5,87.32,2253300,87.32
"1455","RCL",2021-10-12,87.449997,89.239998,87.029999,88.669998,2997500,88.669998
"1456","RCL",2021-10-13,88.5,88.599998,86.440002,86.730003,2753200,86.730003
"1457","RCL",2021-10-14,87.330002,88.139999,86.739998,86.900002,2070400,86.900002
"1458","RCL",2021-10-15,87.559998,88.599998,86.269997,86.32,3269000,86.32
"1459","RCL",2021-10-18,86.190002,86.620003,84.589996,85.879997,2428800,85.879997
"1460","RCL",2021-10-19,85.980003,85.980003,84.099998,84.470001,2912800,84.470001
"1461","RCL",2021-10-20,84.5,85.419998,83.620003,83.910004,2365800,83.910004
"1462","RCL",2021-10-21,84.110001,84.919998,83.209999,83.730003,1793400,83.730003
"1463","RCL",2021-10-22,83.239998,84.870003,82.860001,84.629997,2315800,84.629997
"1464","RCL",2021-10-25,84.580002,85.599998,84.040001,84.910004,1907100,84.910004
"1465","RCL",2021-10-26,86.269997,86.75,84.379997,84.419998,2231400,84.419998
"1466","RCL",2021-10-27,84.699997,85.129997,83.410004,83.489998,1987700,83.489998
"1467","RCL",2021-10-28,83.410004,84.769997,82.519997,84.25,1895700,84.25
"1468","RCL",2021-10-29,84,86.309998,83.529999,84.43,3363800,84.43
"1469","RCL",2021-11-01,84.43,88.419998,83.949997,88.279999,3315800,88.279999
"1470","RCL",2021-11-02,87.739998,88.559998,86.400002,87.779999,2156700,87.779999
"1471","RCL",2021-11-03,87.169998,90.339996,86.75,89.769997,2829000,89.769997
"1472","RCL",2021-11-04,90.260002,90.879997,88.199997,88.730003,1782800,88.730003
"1473","RCL",2021-11-05,93.540001,98.050003,93.389999,96.669998,10281300,96.669998
"1474","RCL",2021-11-08,97.339996,98.269997,93.230003,93.709999,4918300,93.709999
"1475","RCL",2021-11-09,92.18,93,90.440002,91.349998,3738600,91.349998
"1476","RCL",2021-11-10,90.059998,91.5,87.849998,88.75,2739600,88.75
"1477","RCL",2021-11-11,89,89.07,86.169998,86.300003,2759500,86.300003
"1478","RCL",2021-11-12,86.339996,86.639999,83.470001,84.57,3904200,84.57
"1479","RCL",2021-11-15,85.199997,86.93,85.010002,85.260002,3021200,85.260002
"1480","RCL",2021-11-16,85,85.059998,82.800003,83.339996,3514100,83.339996
"1481","RCL",2021-11-17,82.949997,84,82.019997,83.269997,2417100,83.269997
"1482","RCL",2021-11-18,83.75,83.959999,82.080002,82.940002,2285800,82.940002
"1483","RCL",2021-11-19,82,82.019997,78.699997,80.470001,4430500,80.470001
"1484","RCL",2021-11-22,81,81.82,78.900002,79.269997,3096500,79.269997
"1485","RCL",2021-11-23,79.959999,80.470001,78.25,78.839996,2262600,78.839996
"1486","RCL",2021-11-24,78.18,79.949997,77.099998,78.339996,2147700,78.339996
"1487","RCL",2021-11-26,71.029999,71.529999,67.919998,67.980003,10722900,67.980003
"1488","RCL",2021-11-29,72.129997,72.519997,68.059998,69.889999,7839900,69.889999
"1489","RCL",2021-11-30,68.779999,70.160004,66.879997,69.82,8624200,69.82
"1490","RCL",2021-12-01,71.010002,72.379997,64.199997,64.269997,9692100,64.269997
"1491","RCL",2021-12-02,66,69.300003,64.25,68.879997,7070300,68.879997
"1492","RCL",2021-12-03,68,69.110001,66.169998,66.760002,4664800,66.760002
"1493","RCL",2021-12-06,68.699997,74.43,67.720001,72.25,8184800,72.25
"1494","RCL",2021-12-07,72.959999,74.449997,71.059998,71.639999,5259900,71.639999
"1495","RCL",2021-12-08,73.209999,77.5,72.650002,75.370003,6857200,75.370003
"1496","RCL",2021-12-09,73.239998,75.419998,73.239998,74.699997,2760300,74.699997
"1497","RCL",2021-12-10,75.699997,75.989998,73.480003,75.5,3494300,75.5
"1498","RCL",2021-12-13,73.889999,74.099998,70.889999,72.150002,4254300,72.150002
"1499","RCL",2021-12-14,71.120003,73.300003,71.080002,71.599998,4257100,71.599998
"1500","RCL",2021-12-15,71.230003,71.410004,68.169998,70.629997,4385300,70.629997
"1501","RCL",2021-12-16,71.199997,72.349998,68.370003,68.800003,5156400,68.800003
"1502","RCL",2021-12-17,68.610001,73.239998,68.599998,72.410004,7720900,72.410004
"1503","RCL",2021-12-20,70.150002,74.559998,69.660004,72.660004,6111800,72.660004
"1504","RCL",2021-12-21,74.300003,77.209999,74.160004,76.57,6787400,76.57
"1505","RCL",2021-12-22,76.349998,79.959999,75.57,79.459999,4272700,79.459999
"1506","RCL",2021-12-23,80.480003,80.57,77.830002,79.529999,3859500,79.529999
"1507","RCL",2021-12-27,76.779999,78.779999,75.550003,78.459999,2967100,78.459999
"1508","RCL",2021-12-28,77.540001,80.050003,77.529999,78.25,2363500,78.25
"1509","RCL",2021-12-29,77.440002,78.779999,76.360001,78.220001,3038600,78.220001
"1510","RCL",2021-12-30,78.080002,79.940002,76.709999,77.349998,5293900,77.349998
"1511","RCL",2021-12-31,76.639999,78.190002,76.230003,76.900002,3085400,76.900002
"1512","RCL",2022-01-03,77.57,81.75,77.57,80.830002,4677100,80.830002
"1513","RCL",2022-01-04,82.230003,83.529999,81.730003,82.379997,4519400,82.379997
"1514","RCL",2022-01-05,84,84,79.910004,80.610001,3362000,80.610001
"1515","RCL",2022-01-06,81.339996,82.870003,77.470001,77.919998,5830400,77.919998
"1516","RCL",2022-01-07,78.790001,82.5,78.400002,81.019997,5101700,81.019997
"1517","RCL",2022-01-10,81.669998,81.760002,77.190002,79.919998,4035500,79.919998
"1518","RCL",2022-01-11,79.449997,82.330002,78.57,81.730003,2990700,81.730003
"1519","RCL",2022-01-12,82.040001,82.669998,80.650002,82.260002,2599900,82.260002
"1520","RCL",2022-01-13,82.470001,85.32,82.300003,83.489998,4265000,83.489998
"1521","RCL",2022-01-14,83.32,84.239998,81.82,84.150002,2588000,84.150002
"1522","RCL",2022-01-18,83,84.330002,81.919998,82.330002,2528200,82.330002
"1523","RCL",2022-01-19,82.389999,82.800003,80.709999,81.629997,3083800,81.629997
"1524","RCL",2022-01-20,81.589996,85.150002,80.919998,81.18,5003800,81.18
"1525","RCL",2022-01-21,80.830002,80.959999,77.550003,79.089996,5059300,79.089996
"1526","RCL",2022-01-24,77.120003,78.900002,73.470001,78.730003,5615500,78.730003
"1527","RCL",2022-01-25,77.550003,80.660004,75.889999,80.169998,4118500,80.169998
"1528","RCL",2022-01-26,81.5,83.93,80.389999,81.110001,4343500,81.110001
"1529","RCL",2022-01-27,81.879997,82.279999,75.489998,75.970001,4027600,75.970001
"1530","RCL",2022-01-28,75.669998,76.449997,71.910004,74.519997,5426500,74.519997
"1531","RCL",2022-01-31,74.25,77.949997,72.75,77.809998,3954600,77.809998
"1532","RCL",2022-02-01,77.940002,81.830002,77.769997,81.230003,4679000,81.230003
"1533","RCL",2022-02-02,80.739998,81.959999,79.720001,81.239998,3430300,81.239998
"1534","RCL",2022-02-03,80.449997,81.230003,78.989998,79.360001,4822300,79.360001
"1535","RCL",2022-02-04,78.139999,78.690002,74.910004,75.580002,8198200,75.580002
"1536","RCL",2022-02-07,76.720001,82.879997,76.720001,81.959999,6927600,81.959999
"1537","RCL",2022-02-08,83.419998,86.57,82.019997,86.279999,6361900,86.279999
"1538","RCL",2022-02-09,87,89.599998,86.980003,88.050003,5728700,88.050003
"1539","RCL",2022-02-10,87.360001,90.550003,86.760002,87.830002,5284700,87.830002
"1540","RCL",2022-02-11,88.129997,89.489998,83.779999,83.959999,5553000,83.959999
"1541","RCL",2022-02-14,84.410004,86.190002,82.57,82.75,4028400,82.75
"1542","RCL",2022-02-15,85.660004,86.900002,83.82,86.269997,3559500,86.269997
"1543","RCL",2022-02-16,85.839996,88.800003,85.5,87.059998,4238900,87.059998
"1544","RCL",2022-02-17,85.440002,86.260002,84.540001,85.139999,2697500,85.139999
"1545","RCL",2022-02-18,84.589996,85.339996,82.959999,83.690002,3983400,83.690002
